id,firstname,lastname,email,field Name,field Name,attendance
1,Hope,Diann,Hope.Diann@yopmail.com,First Year,PlaceholderStudentImage.png,Present
2,Lilith,Chauncey,Lilith.Chauncey@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
3,Ira,Margarete,Ira.Margarete@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
4,Pearline,Edmund,Pearline.Edmund@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
5,Zaria,Knowling,Zaria.Knowling@yopmail.com,First Year,PlaceholderStudentImage.png,Present
6,Merry,Shama,Merry.Shama@yopmail.com,First Year,PlaceholderStudentImage.png,Present
7,Amalie,Hewitt,Amalie.Hewitt@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
8,Helsa,Duwalt,Helsa.Duwalt@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
9,Annice,Kunin,Annice.Kunin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
10,Audrie,Gunn,Audrie.Gunn@yopmail.com,First Year,PlaceholderStudentImage.png,Present
11,Blinni,Jobi,Blinni.Jobi@yopmail.com,First Year,PlaceholderStudentImage.png,Present
12,Riannon,Stoller,Riannon.Stoller@yopmail.com,First Year,PlaceholderStudentImage.png,Present
13,Beth,Chrystel,Beth.Chrystel@yopmail.com,First Year,PlaceholderStudentImage.png,Present
14,Adriana,Gale,Adriana.Gale@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
15,Marsiella,Alexandr,Marsiella.Alexandr@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
16,Nannie,Roche,Nannie.Roche@yopmail.com,First Year,PlaceholderStudentImage.png,Present
17,Genevra,Schwejda,Genevra.Schwejda@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
18,Fidelia,Pauly,Fidelia.Pauly@yopmail.com,First Year,PlaceholderStudentImage.png,Present
19,Mellicent,Cullin,Mellicent.Cullin@yopmail.com,First Year,PlaceholderStudentImage.png,Present
20,Mallory,Bartlett,Mallory.Bartlett@yopmail.com,First Year,PlaceholderStudentImage.png,Present
21,Louella,Tryck,Louella.Tryck@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
22,Roberta,Sophronia,Roberta.Sophronia@yopmail.com,First Year,PlaceholderStudentImage.png,Absent
23,Judy,Byrne,Judy.Byrne@yopmail.com,First Year,PlaceholderStudentImage.png,Present
