firstname,lastname,email,Year,picture,Attendance
Jany,Carlson,Jany.Carlson@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Nikki,Schonfeld,Nikki.Schonfeld@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Britte,Corrine,Britte.Corrine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Lenna,Rustice,Lenna.Rustice@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Rivalee,Abram,Rivalee.Abram@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Modestia,Taima,Modestia.Taima@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Jsandye,Morrill,Jsandye.Morrill@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Tarra,Papageno,Tarra.Papageno@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Stephanie,Ethban,Stephanie.Ethban@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lolita,Madaih,Lolita.Madaih@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Aaren,O'Neill,Aaren.O'Neill@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Renae,Leopold,Renae.Leopold@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Claresta,Baudin,Claresta.Baudin@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Adelle,Hedve,Adelle.Hedve@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Stephanie,Santoro,Stephanie.Santoro@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Oona,Dawkins,Oona.Dawkins@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ingrid,Catie,Ingrid.Catie@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Gavrielle,Maurine,Gavrielle.Maurine@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Minne,Screens,Minne.Screens@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Elyssa,Odell,Elyssa.Odell@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Adore,Thomasina,Adore.Thomasina@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carlie,Jarib,Carlie.Jarib@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Brana,Warthman,Brana.Warthman@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Kary,Andrel,Kary.Andrel@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Cherilyn,Camden,Cherilyn.Camden@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Laure,Katrine,Laure.Katrine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Latisha,Hortensia,Latisha.Hortensia@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lanna,Nicoline,Lanna.Nicoline@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Kaja,Fancie,Kaja.Fancie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Gabi,Desai,Gabi.Desai@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Quintina,Halla,Quintina.Halla@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Kirstin,Joni,Kirstin.Joni@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Grier,Diogenes,Grier.Diogenes@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Feliza,Chesna,Feliza.Chesna@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Charissa,Birdella,Charissa.Birdella@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Ariela,Kathie,Ariela.Kathie@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Libbie,Kesley,Libbie.Kesley@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Minda,Drus,Minda.Drus@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Shirlee,Raffo,Shirlee.Raffo@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Barbara,Lalitta,Barbara.Lalitta@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Vere,Carolin,Vere.Carolin@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Sabina,Minetta,Sabina.Minetta@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Doro,Ax,Doro.Ax@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lilith,Kimmie,Lilith.Kimmie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Monika,Jerald,Monika.Jerald@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Karolina,Christine,Karolina.Christine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Nonnah,Cookie,Nonnah.Cookie@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Fayre,Cloris,Fayre.Cloris@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Charissa,Telfer,Charissa.Telfer@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Mathilda,Wilkinson,Mathilda.Wilkinson@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Eolanda,Fairweather,Eolanda.Fairweather@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lily,Ahab,Lily.Ahab@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Karina,Charmine,Karina.Charmine@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Tierney,O'Carroll,Tierney.O'Carroll@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Madeleine,Ortrude,Madeleine.Ortrude@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sheelagh,Judye,Sheelagh.Judye@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Helsa,Suzetta,Helsa.Suzetta@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carmela,Ventre,Carmela.Ventre@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Taffy,Koziara,Taffy.Koziara@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Elie,Konyn,Elie.Konyn@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Roxane,Ade,Roxane.Ade@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Yolane,Trace,Yolane.Trace@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Millie,Fiester,Millie.Fiester@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lauryn,Cottle,Lauryn.Cottle@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Candi,Soneson,Candi.Soneson@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
June,Gower,June.Gower@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Beatriz,Erminia,Beatriz.Erminia@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Claudina,Rooney,Claudina.Rooney@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Devina,Trace,Devina.Trace@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Flory,Denis,Flory.Denis@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Kristan,Seessel,Kristan.Seessel@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Ernesta,Tarrant,Ernesta.Tarrant@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Gabi,Waldron,Gabi.Waldron@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Vita,Aloise,Vita.Aloise@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Rori,Yorick,Rori.Yorick@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Rani,Malina,Rani.Malina@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Bee,Orlene,Bee.Orlene@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Kaja,Delp,Kaja.Delp@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Janey,Halla,Janey.Halla@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Lauryn,Morehouse,Lauryn.Morehouse@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Karolina,Laverne,Karolina.Laverne@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Dulce,Florina,Dulce.Florina@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Shaine,Nadia,Shaine.Nadia@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Minda,Torray,Minda.Torray@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Helsa,Ariella,Helsa.Ariella@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Carmela,Waite,Carmela.Waite@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Merci,Ummersen,Merci.Ummersen@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Lonnie,Baylor,Lonnie.Baylor@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Sybille,Thad,Sybille.Thad@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Dione,Medrek,Dione.Medrek@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Michaelina,Halsey,Michaelina.Halsey@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Perry,Hachmin,Perry.Hachmin@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Gavrielle,Emmy,Gavrielle.Emmy@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Claresta,Moina,Claresta.Moina@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Oona,Sherrie,Oona.Sherrie@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Selia,Publia,Selia.Publia@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Flory,Neva,Flory.Neva@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Brandise,Rebecka,Brandise.Rebecka@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Alleen,Henebry,Alleen.Henebry@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Candy,Alarise,Candy.Alarise@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Atlanta,Himelman,Atlanta.Himelman@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Madeleine,Adrienne,Madeleine.Adrienne@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Jessamyn,Vorster,Jessamyn.Vorster@FauxMail.com,First Year,PlaceholderStudentImage.png,Not aproved
Meriel,Kaja,Meriel.Kaja@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Charissa,Louanna,Charissa.Louanna@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
Catrina,Constancy,Catrina.Constancy@FauxMail.com,First Year,PlaceholderStudentImage.png,Approved
