id,firstname,lastname,email,field Name,field Name,attendance
1,Jennica,Markman,Jennica.Markman@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
2,Ottilie,Goth,Ottilie.Goth@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
3,Amara,Othilia,Amara.Othilia@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
4,Tabbatha,Dannye,Tabbatha.Dannye@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
5,Danika,Oriana,Danika.Oriana@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
6,Averyl,Shanley,Averyl.Shanley@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
7,Lynea,Idelia,Lynea.Idelia@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
8,Esmeralda,Daegal,Esmeralda.Daegal@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
9,Kary,Alexandr,Kary.Alexandr@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
10,Joceline,Parette,Joceline.Parette@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
11,Thalia,Kress,Thalia.Kress@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
12,Moyna,Erskine,Moyna.Erskine@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
13,Robinia,Olin,Robinia.Olin@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
14,Johna,Argus,Johna.Argus@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
15,Rosene,Ardra,Rosene.Ardra@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
16,Tomasina,Geffner,Tomasina.Geffner@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
17,Arabel,Tamsky,Arabel.Tamsky@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
18,Tobe,Lytton,Tobe.Lytton@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
19,Merrie,Brandice,Merrie.Brandice@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
20,Beth,Sidonius,Beth.Sidonius@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
21,Shell,Merat,Shell.Merat@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
22,Mellicent,Gavrila,Mellicent.Gavrila@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
23,Berta,Oneida,Berta.Oneida@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
24,Daryl,Liebermann,Daryl.Liebermann@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
25,Ermengarde,Dominy,Ermengarde.Dominy@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
26,Candi,Chem,Candi.Chem@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
27,Silvana,Hillel,Silvana.Hillel@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
28,Nyssa,Dulciana,Nyssa.Dulciana@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
29,Chere,Pip,Chere.Pip@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
30,Lynde,Celestine,Lynde.Celestine@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
31,Elmira,Erskine,Elmira.Erskine@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
32,Kimberley,Kevon,Kimberley.Kevon@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
33,Rayna,Sawtelle,Rayna.Sawtelle@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
34,Mahalia,Jotham,Mahalia.Jotham@yopmail.com,Second Year,PlaceholderStudentImage.png,Absent
35,Brynna,Konyn,Brynna.Konyn@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
36,Liana,Gaynor,Liana.Gaynor@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
37,Madelle,Suanne,Madelle.Suanne@yopmail.com,Second Year,PlaceholderStudentImage.png,Present
