id,firstname,lastname,email,field Name,field Name,attendance
1,Jaclyn,Demitria,Jaclyn.Demitria@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
2,Grier,Fiester,Grier.Fiester@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
3,Tabbatha,Campball,Tabbatha.Campball@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
4,Helsa,Georas,Helsa.Georas@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
5,Micheline,Maribeth,Micheline.Maribeth@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
6,Diena,Paton,Diena.Paton@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
7,Edee,Pierette,Edee.Pierette@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
8,Bee,Tatianas,Bee.Tatianas@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
9,Tierney,Mintz,Tierney.Mintz@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
10,Heida,Philoo,Heida.Philoo@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
11,Ninnetta,Shelba,Ninnetta.Shelba@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
12,Brynna,Dorcy,Brynna.Dorcy@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
13,Maryellen,Ioab,Maryellen.Ioab@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
14,Sharai,Schroth,Sharai.Schroth@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
15,Christal,Ovid,Christal.Ovid@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
16,Dianemarie,Adore,Dianemarie.Adore@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
17,Jan,Chinua,Jan.Chinua@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
18,Agathe,Beebe,Agathe.Beebe@yopmail.com,Third Year,PlaceholderStudentImage.png,Present
19,Gretal,Mandler,Gretal.Mandler@yopmail.com,Third Year,PlaceholderStudentImage.png,Absent
